work_id,mri_subtype,application_task,physics_model,architecture_class,data_type,rationale
W00001,perfusion,perfusion_quantification,tracer_kinetics,physics_CNN_UNet,in_vivo_patients,"Uses DSC-MRI with tracer kinetics PDE in CNN loss, validated on patients."
W00003,4D_flow,flow_estimation,Navier_Stokes,PINN_MLP,mix,"Enhanced PINNs with flow rate constraints for 4D Flow MRI correction, validated on CFD and patients."
W00004,MREPT,EPT,Maxwell_MREPT,PINN_MLP,mix,"Uses modified PINN (FCNN) with Maxwell-derived PDE for electrical property tomography, validated on phantoms."
W00005,4D_flow,flow_estimation,Navier_Stokes,PINN_MLP,mix,"Physics-informed reduced-order model for brain hemodynamics validated against 4D Flow MRI."
W00006,cine_MRI,motion_registration,elasticity,PINN_MLP,in_vivo_volunteers,"WarpPINN uses hyperelastic regularization for Cine-MR registration, tested on volunteers."
W00007,MR_spectroscopy,parameter_mapping,LCM,autoencoder,mix,"Model-constrained deep learning for MRS metabolite quantification using quantum-mechanical simulations."
W00008,perfusion,perfusion_quantification,tracer_kinetics,PINN_MLP,mix,"Physics-informed unsupervised DNN for CBF/ATT estimation in ASL MRI, compared to supervised methods."
W00009,diffusion,denoising,diffusion,physics_CNN_UNet,in_vivo_patients,"PIND uses physics-informed loss to denoise high b-value DWI, validated on prostate cancer patients."
W00010,diffusion,parameter_mapping,diffusion,PINN_MLP,in_vivo_patients,"PINN fitting approach for IVIM parameters in cerebrovascular disease patients."
W00011,synthetic_MRI,reconstruction,Bloch,physics_CNN_UNet,mix,"Physics-informed GAN-based method synthesizing contrasts from transient-state acquisition."
W00012,diffusion,parameter_mapping,diffusion,PINN_MLP,mix,"Estimates diffusion coefficient in brain using PINNs, validated with synthetic and MRI data."
W00014,perfusion,perfusion_quantification,tracer_kinetics,PINN_MLP,simulation,"PINNs incorporate diffusion into pharmacokinetic models for DCE-MRI vascularization data."
W00015,other_MRI,parameter_mapping,diffusion_reaction,PINN_MLP,mix,"Reaction-diffusion PDE fitted using PINNs to predict glioblastoma infiltration from multimodal MRI scans including structural MRI."
W00016,perfusion,perfusion_quantification,tracer_kinetics,autoencoder,mix,"SPINNED is simulation-based physics-informed neural network using autoencoder-like architecture for DSC-MRI deconvolution with Tofts model, validated on phantoms and patients."
W00018,MREPT,EPT,Maxwell_MREPT,Fourier_operator,mix,"PIFON-EPT uses Fourier Networks with Helmholtz equation for electrical property reconstruction."
W00019,reconstruction,reconstruction,Bloch,physics_CNN_UNet,mix,"XT-YT U-Net incorporates MR acquisition model for radial dynamic MRI reconstruction."
W00020,reconstruction,reconstruction,diffusion,PINN_MLP,simulation,"PINNs correct ferric ion diffusion in Fricke gel dosimeters measured via MRI."
W00021,diffusion,parameter_mapping,diffusion,unrolled,in_vivo_volunteers,"DIMOND uses self-supervised deep learning with physics-informed diffusion model optimization for microstructure parameter mapping from diffusion MRI, validated on HCP data."
W00022,4D_flow,flow_estimation,Navier_Stokes,PINN_MLP,in_vivo_patients,"Reduced-order Navier-Stokes PINN estimates pulmonary artery pressure from 4D Flow MRI."
W00023,perfusion,perfusion_quantification,tracer_kinetics,PINN_MLP,mix,"PINNs recover voxel-wise tissue response functions for DSC perfusion quantification."
W00024,reconstruction,reconstruction,Bloch,physics_CNN_UNet,phantom,"T2-deblurred superresolution GAN modeling TSE physics, tested on mouse embryo models."
W00025,reconstruction,reconstruction,Bloch,unrolled,simulation,"Joint B0 and image reconstruction in low-field MRI using physics-informed unrolled network (SH-Net)."
W00026,perfusion,perfusion_quantification,tracer_kinetics,physics_CNN_UNet,mix,"Physics-informed RNNs (GRU/LSTM) with Tofts model constraints for DCE-MRI PK parameter estimation in pancreatic cancer patients."
W00027,other_MRI,elastography,elasticity,PINN_MLP,mix,"PINNs with Neo-Hookean constitutive model estimate prostate tissue stiffness using MRI-derived geometries and FEA validation."
W00028,perfusion,perfusion_quantification,tracer_kinetics,PINN_MLP,in_vivo_patients,"SUPINN estimates cerebral blood flow in infants from ASL using spatial uncertainty."
W00029,4D_flow,flow_estimation,Navier_Stokes,physics_CNN_UNet,in_vivo_patients,"Fluid physics-informed CycleGAN derives 3D aortic hemodynamics from anatomical MRI."
W00030,reconstruction,reconstruction,Bloch,unrolled,in_vivo_volunteers,"Unrolled supervised dictionary learning network incorporates physics-based data consistency for cine MRI reconstruction."
W00031,diffusion,parameter_mapping,diffusion,PINN_MLP,in_vivo_patients,"PINN solves advection-diffusion inverse problem for molecular transport in brain ECS."
W00032,4D_flow,flow_estimation,Navier_Stokes,physics_CNN_UNet,mix,"Super-resolution 4D Flow MRI using deep learning coupled with physics-informed pressure estimation."
W00033,reconstruction,reconstruction,Bloch,physics_CNN_UNet,mix,"Deep complex convolution network for fat-water separation compared in ad-hoc physics reconstruction."
W00034,qMRI_relaxometry,parameter_mapping,Bloch,physics_CNN_UNet,in_vivo_patients,"Myo-DINO uses EPG-based loss for T2/Fat Fraction mapping in neuromuscular disorders."
W00036,diffusion,parameter_mapping,diffusion,physics_CNN_UNet,mix,"IVIM-NET is unsupervised physics-informed network with diffusion signal model loss for IVIM parameter fitting in pancreatic cancer diffusion MRI."
W00037,perfusion,perfusion_quantification,tracer_kinetics,unrolled,mix,"Physics-informed DNNs for multiparametric ASL CBF/ATT estimation using lookup table physics regularization, validated on phantoms and in vivo."
W00038,reconstruction,reconstruction,diffusion,physics_CNN_UNet,mix,"Physics-informed heat diffusion prior embedded in U-Net-like network for k-space interpolation and MRI reconstruction."
W00040,fMRI,connectivity,generic_PDE,PINN_MLP,in_vivo_patients,"Finite Basis Physics Neural Network solves brain dynamics ODEs for Alzheimer's classification from resting-state fMRI."
W00041,qMRI_relaxometry,parameter_mapping,Bloch,PINN_MLP,mix,"Self-supervised PINN for phase-cycled bSSFP relaxometry compared to supervised methods."
W00042,diffusion,parameter_mapping,diffusion,autoencoder,mix,"Physics-Informed Autoencoder (PIA) for prostate microstructure profiling using hybrid MRI."
W00043,other_MRI,motion_registration,elasticity,autoencoder,mix,"Neural ODEs with linear elasticity constraints in latent space for deformable registration of brain MRI and other modalities."
W00044,reconstruction,reconstruction,Bloch,physics_CNN_UNet,mix,"PI-MoCoNet uses physics-informed spatial/k-space consistency losses for motion artifact correction in dynamic MRI."
W00045,diffusion,parameter_mapping,diffusion,physics_CNN_UNet,in_vivo_patients,"Unsupervised physics-informed network fits tri-exponential IVIM model parameters in NAFLD patients using diffusion MRI."
W00046,perfusion,perfusion_quantification,tracer_kinetics,physics_CNN_UNet,mix,"Spatial-temporal unsupervised deep learning (STUDE) for DCE-MRI PK parameter estimation."
W00047,qMRI_relaxometry,parameter_mapping,Bloch,other_DL,mix,"Physics-informed implicit neural representation for spatio-temporal MR fingerprinting."
W00049,reconstruction,reconstruction,Bloch,physics_CNN_UNet,mix,"Physics-informed synthetic data framework (PISF) for generalizable fast MRI reconstruction."
W00052,other_MRI,motion_registration,elasticity,unrolled,in_vivo_volunteers,"ElasticMorph adds second-order Navier-Cauchy elastic regularization to CNN/transformer backbones for brain MRI registration."
W00053,qMRI_relaxometry,parameter_mapping,Bloch,unrolled,in_vivo_volunteers,"PHIMO+ uses physics-informed unrolled optimization with acquisition model for motion-robust T2* quantification from gradient echo MRI."
W00054,reconstruction,reconstruction,Bloch,physics_CNN_UNet,mix,"Joint image and motion estimation network for 3D MRI motion correction."
W00085,4D_flow,flow_estimation,Navier_Stokes,PINN_MLP,simulation,"Input Parameterized PINN enhances resolution of 4D-Flow MRI using synthetic blood flow data."
W00086,other_MRI,elastography,elasticity,PINN_MLP,mix,"PINNs integrated with FEA solve hyperelastic constitutive models to estimate lumbar spine properties from MRI/CT."
W00087,reconstruction,reconstruction,Bloch,physics_CNN_UNet,mix,"PINN-DADif uses physics-informed adaptive diffusion priors with k-space consistency for accelerated MRI reconstruction across contrasts."
W00109,other_MRI,flow_estimation,Navier_Stokes,PINN_MLP,in_vivo_volunteers,"MRI-MECH solves 1D Navier-Stokes-like flow equations in elastic tube model fitted to dynamic MRI of esophageal bolus transport."
W00110,MREPT,EPT,Maxwell_MREPT,PINN_MLP,mix,"PINN-MREPT with optimizable diffusion coefficient for electrical property tomography."
